lyrics,artist
" And shepherds we shall be For thee, my lord, for thee Power hath descended forth from thy hand That our feet may swiftly carry out thy command So, we shall flow river forth to thee And teeming with souls, shall it ever be In nomine patris, et filli Et spiritus sancti You've sunk lower than I've ever seen And even though you deserved this, I tried to catch your fall I've grown so tired of your childish threats Know that I'll never run from anything And I'll burn the building if I knew you'd die And I'll pray you're a failure, and that you won't make it out alive And I'll burn the building if I knew you'd die And I'll pray you're a failure, and that you won't make it out alive Here's where we prove all your fairy tales wrong, this all stops Tonight, swim in your sea of smoke, until your lungs lose the fight It's over, this all stops tonight Or prove me wrong What have you become through your jealousy? You've threatened my life, my friends, and family This is your last wrong turn in your life And this dead end leads to a blood bath, your blood bath And I'll burn the building if I knew you'd die And I'll pray you're a failure, and that you won't make it out alive And I'll burn the building if I knew you'd die And I'll pray you're a failure, and that you won't make it out alive Here's where we prove all your fairy tales wrong, this all stops Tonight, swim in your sea of smoke, until your lungs lose the fight It's over, this all stops tonight Or prove me wrong ",A Day to Remember
" Fight! You're afraid, like I make my deals with the devil You've been at it for years, but couldn't reach that next level Let's keep it real, this is no competition to me Even if everyone around you acts like they don't see (Oh!) Is anybody else listening? Outta sight, outta mind is what you'll always be (Oh!) I hold my cards to my chest I laid my life on the line, so I expect nothing less from you I speak the truth and everybody else knows it So set your ego to the side and just get the fuck over it Can't waste my time on hateful people like you So keep wishing you were me and I'll keep making you have to (Oh!) Is anybody else listening? Outta sight, outta mind is what you'll always be (Oh!) I hold my cards to my chest I laid my life on the line, so I expect nothing less from you I just can't believe it's really come to this Because without me, you would not exist (Hey, hey!) Still got something left to say Only one in the world that I depend on is me I need nothing from no one, I take what I need Get a hold of yourself, and keep away from me (Oh!) Is anybody else listening? Outta sight, outta mind is what you'll always be (Oh!) I hold my cards to my chest I laid my life on the line, so I expect nothing less from you ",A Day to Remember
" Fight! You're afraid Like I make my deals with the devil You’ve been at it for years But couldn't reach that next level Let's keep it real This is no competition to me Even if everyone around you acts Like they don’t see Is anybody else listening? Outta sight, outta mind Is what you'll always be I hold my cards to my chest I laid my life on the line So I expect nothing less from you I speak the truth And everybody else knows it So set your ego to the side And just get the fuck over it Can't waste my time On hateful people like you So keep wishing you were me And I'll keep making you have to Is anybody else listening? Outta sight, outta mind Is what you'll always be I hold my cards to my chest I laid my life on the line So I expect nothing less from you I just can't believe Its really come to this Because without me You would not exist ",A Day to Remember
" 5:15, I'm changing trains This little town let me down This foreign rain brings me down 5:15 train overdue Angels have gone, no ticket I'm jumping tracks, I'm changing towns We never talk anymore Forever I will adore you 5:15, all of my life's angels have gone I'm changing trains, angels like them thin on the ground All of my life, all legs and wings, strange sandy eyes 5:15 train overdue, angels have gone We never talk anymore Forever I will adore you Cold station, all of my life Forever, I'm out of here forever ",A Day to Remember
" This is for you (this is for you) You're the one worth waiting for You're all I ever needed in this life Lets Take a look back, so we can see What it took to bring us here and be here So reminded of better days When we were both happy This is for you (this is for you) You're the one worth waiting for You're all I ever needed in this life This is for you (this is for you) You're the one worth waiting for You're all I ever needed in this life Words can't express The impact you've made on me In my entire life And all i can say is that I love you For everything it serves out This is for you (this is for you) You're the one worth waiting for You're all I ever needed in this life This is for you (this is for you) You're the one worth waiting for You're all I ever needed in this life Cause I try So hard to make this right (right) You've got my back on the wall After all you've put me through My friends still stay true ",A Day to Remember
" I'm always screaming my lungs out, 'til my head starts spinning Playing my songs is the way I cope with life Won't keep my voice down Know the words I speak are the thoughts I think out loud I like to keep things honest I'm a safe bet, like your life's staked on it, for real I'd hate to keep you all wondering I'm constant, like the seasons, and I will never be forgotten, man Let's leave no words unspoken and save regrets for the broken Will you even look back when you think of me? All I want is a place to call my own To mend the hearts of everyone who feels alone Whoa, you know to keep your Hopes up high and your head down low Keep your hopes up high and your head down low Still got something left to prove, it tends to keep things movin' While everyone around me says my last days are looming Overhead, but what the hell do they think they know? My head's above the water, while they drown in the undertow Let's leave no words unspoken and save regrets for the broken Will you even look back when you think of me? All I want is a place to call my own To mend the hearts of everyone who feels alone Whoa, you know to keep your Hopes up high and your head down low All I want is a place to call my own To mend the hearts of everyone who feels alone Whoa, you know to keep your Hopes up high and your head down low ",A Day to Remember
" I hate this town, it's so washed up And all my friends don't give a fuck Don't tell me that it's just bad luck When will I find where I fit in? Two! Three! Four! Remember when I tried I never strayed too far from you Forever by your side No matter what I was going through But now, I never know the things to say to you That help me prove that I'm still on your side I never show just what you do to me Guess I was always wrong I hate this town, it's so washed up And all my friends don't give a fuck Don't tell me that it's just bad luck When will I find where I fit in? I hate this town 'Cause no one can understand I just can't be tied down Nothing comes between me and my plans So now, I never know the things to say to you That help me prove that I'm still on your side I never show just what you do to me Guess I was always wrong I hate this town, it's so washed up And all my friends don't give a fuck Don't tell me that it's just bad luck When will I find where I fit in? ",A Day to Remember
 She's running fast and falls Not into open arms Everyone she knows Everything she loves is gone What more does she deserve To up and burn up letters form her past Ashes seeping to her mind Tell me why she gave you all her heart Tell me why it's tore apart I'm fighting so you can see This is all I need And on my dying day I'd be proud to say I'd take this to my grave It's the choices that we make Some people like to call this fate I've heard the thousands Hopes and dreams And yet none to succeed I'm fighting so you can see This is all I need And on my dying day I'd be proud to say I'd take this to my grave It's the chances that we take And some people think they are mistakes If they could see what this means to me They'd eat their words This is all my dreams ,A Day to Remember
" They keep playing sad songs on the radio And I feel like I'm so alone on this fifteen-hour drive And all the while, I tell myself to just believe 'Cause nobody can give so much and never get anything (Never get anything!) Everyone I used to know says they don't know what I've become But I'm still the same, not much has changed, I still know where I came from I fell asleep with the lights on And I can see that you're the first one in a long time That had some faith in me (Have faith in me!) Tell my friends we won't be long The Florida sun begs me to come back home And it feels like I'm ready for anything If you can wait for me And all the while, I say too much of what I think And I can't remember what it's like to find meaning in anything For the life of me Everyone I used to know says they don't know what I've become But I'm still the same, not much has changed, I still know where I came from And all I ever wanted was so far from what I need I'll write my songs, they'll sing along and hope time heals everything I fell asleep with the lights on And I can see that you're the first one in a long time That had some faith in me (Have faith in me!) Tell my friends we won't be long The Florida sun begs me to come back home And it feels like I'm ready for anything If you can wait for me This is all I have! This is all I have! (It's my life) This is all I have! This is all I have! ",A Day to Remember
" They keep playing sad songs on the radio And I feel like I'm so alone On this 15-hour drive And all the while I tell myself to just believe 'Cause nobody can give so much And never get anything (Never get anything) Everyone I used to know says they don't know what I've become But I'm still the same, not much has changed, I still know where I came from I fell asleep with the lights on And I can see that you're the first one in a long time That had some faith in me (Have faith in me) Tell my friends we won't be long The Florida sun begs me to come back home And it feels like I'm ready for anything If you can wait for me And all the while I say too much of what I think And I can't remember what it's like to find meaning in anything For the life of me Everyone I used to know says they don't know what I've become But I'm still the same, not much has changed I still know where I came from And all I ever wanted was so far from what I need I'll write my songs, they'll sing along, and hope time heals everything I fell asleep with the lights on And I can see that you're the first one in a long time That had some faith in me (Have faith in me) Tell my friends we won't be long The Florida sun begs me to come back home And it feels like I'm ready for anything If you can wait for me ",A Day to Remember
